CICLO,MES,CLAVE_DE_CONCEPTO,NOMBRE,TEMA,SUBTEMA,SECTOR,AMBITO,TIPO_DE_INFORMACION,BASE_DE_REGISTRO,UNIDAD_DE_MEDIDA,PERIODO_INICIO,PERIODO_FINAL,FRECUENCIA,DIFUSION,MONTO
2006,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,58825220
2005,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,22724052
2004,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,24660223
2003,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,21134708
2001,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,3507440
2002,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,21534838
2007,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,49117069
2008,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,-289825
2009,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,39021945
2010,Marzo,RF030,Presupuestario (Entidades),Requerimientos Financieros del Sector P?blico,RFSP,Sector P?blico Federal,Federal,Flujo,Pagado,Miles de Pesos,2001-01,2014-12,Trimestral,30 d?as despu?s del cierre del trimestre de referencia,3427660
