"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Canadá","CAN","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa Central y del Báltico","CEB","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas del Canal","CHI","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","5798013609.4","8359968254.8","9611696896","12088935352.5","16699215995.6","23719315917.2","35339526722.2","42438957562.4","44932469163.1","55301409898.8","60259186451.5","72538895534.7","86092752669.9","100667359411.3","118314843047","129037039407.6","146904623209.9","144214433291.8","148825573986.7","145906872763.7","184315443994.2","185465746540.1","207180503978.3","247359209017.2","285857036926.9","326419519861.6","377749152515.9","386423097229.7","454495613318.6","742737476056.6","1054209569422.7","1148164368937.8","1480476659937.3","1778380562695.9","1333768986063.5","1413904270462.7","1710819944231.6","1961562462976.8","2114161989828.3","2326232537961.7","2724353650084.8","2448050054960.7","2420210835503.5","",
"Côte d'Ivoire","CIV","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","373548111.5","514353853.5","579832810.3","863195403.9","1066224826.3","1464541780.7","1827774833.5","2572851391.8","3835985363.7","4772153135.7","7462430659.4","8140846170.9","8961395038.8","8858429060","8545882464","9658933260.7","11449812391","13577082328.8","13342278908.3","14820639273.8","17251135160","18174037181.8","18546521961.1","19070886308.1","17395169456.9","18898425486.5","19523620342.2","15608687763.3","14851815127.1","13221902540.7","12059905375.8","11620368633.5","11708673980.2","11680518563.4","13178855340.3","12010684931.6","13644008874.8","14385487798.1","12967578597.9","14895852333.1","11703427489.9","12791036139.9","9543206491.6","9855297626.3","9805804583.5","11387731266.8","11457186653.5","13449134231.4","16197579095.1","19831484538.4","25106673275.5","29767834091.7","31787359858.9","36547882003.7","",
"Camerún","CMR","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","145926448.1","180102180.3","221568381.9","265900308.6","323585813.7","441409824.4","610919470","1112883432.3","1529103944.1","2172010618.9","2572800048.4","2646367541.9","2802933669.6","2895588378.1","2895906089.6","3161506000.8","4137225986","4588512728.7","4812725442.2","5364587527.1","6562505108","6767223905.9","7514931937.2","7745306458.5","9358516039","10953419023.3","11074529701.3","10751459761.8","11317978713.1","10765384769.6","10561281361.4","9748844313","10285903206","11408147625.6","10855782708.2","7700089817.9","3418558775.7","3085552120.7","2835553588.4","3237320906.9","3190178368.7","3094521348.4","3887899904.7","5177990160","5765541169.1","7304904667","7890233642.2","10049854104.8","11004928184.8","12928642115.2","14723493939.9","15377164944.4","15109580931.7","15331905271.1","",
"Congo, República Democrática del","COD","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","345217589.6","410049468.9","676590008.1","1046506468.9","1538500031.9","2038607507.3","2918448483.2","3661969554","4491696535","4527133846","4770687541.2","5090789469","5078792918.5","5335734298.6","5289765975.5","6171267764.4","7190751346.9","8749837481.9","8553690732.6","9243644818.9","10250731587","10831930650.9","10995017088.9","11263657313.4","12311690430.3","13229233701.9","12819900506.7","12326993316.6","13192158065.4","12155730264.7","11804397525.6","11612181086.8","10051613856","11433512788","11524216857.1","10683990345.3","11326304418.6","12459468772.6","13196407089.8","14093042023.2","6127402045.6","5564480445.3","5806509181.5","6423232451.7","6150645726.3","5996709515.5","5690740595.9","5821624589.1","5836007744.5","6503189285.1","7102636135.2","9168061522.9","9714258144.1","11066891639.2","",
"Congo, República del","COG","Deuda externa acumulada, total (DOD, US$ a precios actuales)","DT.DOD.DECT.CD","","","","","","","","","","","118823126.3","139971709.7","158183945.8","189108209.7","260490120.6","357190252.8","381343477.1","578772687.5","782939134.2","1056884917.1","1527071937.9","1493614161.3","1959124338.3","2024885249.4","2062648691.1","3041335207.5","3504475080.8","4282641894.3","4050960428.6","4230144754","4916034648.2","4786605644.8","4725658540","5092940382.6","5414066741.8","6009994883.9","5220897392.4","5032532283.5","5100294660.3","5028225458.1","4675949721.5","4820677198.8","5012243895.3","5537629589.3","6834196169.1","6294723995.9","6685623799.7","5281147795.4","5237381716","5054247770.7","2796299602.2","3191826925.7","3585365797.8","4201103943.7","5724086140.7","6776694503.4","6666379338.7","7327526314.8","7043574267.9","8397253562.3","8223877439.2","8254466304","7862003141.4","7779155931.2","",
